hidden_layers,learning_rate,dropout_rate,batch_size,epochs,mean_loss,std_loss
"[16, 8]",0.0001,0.1,16,200,0.1489624629418055,0.035955627049688875
"[16, 8]",0.0001,0.1,32,200,0.1838225225607554,0.035067440474969576
"[16, 8]",0.0001,0.1,64,200,0.23372913897037506,0.023065404853050076
"[16, 8]",0.0001,0.2,16,200,0.14700021594762802,0.04533328033811618
"[16, 8]",0.0001,0.2,32,200,0.1788743535677592,0.03757023458653002
"[16, 8]",0.0001,0.2,64,200,0.23353133102258047,0.02195772219430447
"[16, 8]",0.0001,0.3,16,200,0.19388338178396225,0.06935657269154025
"[16, 8]",0.0001,0.3,32,200,0.17814354101816812,0.020742504518910358
"[16, 8]",0.0001,0.3,64,200,0.3138354818026225,0.03820460878705427
"[24, 12]",0.001,0.1,16,200,0.2863893161217372,0.28637844517537897
"[24, 12]",0.001,0.1,32,200,0.21100033819675446,0.1842612838025168
"[24, 12]",0.001,0.1,64,200,0.16917902852098146,0.1286159894693977
"[24, 12]",0.001,0.2,16,200,0.24639183282852173,0.2421330053943081
"[24, 12]",0.001,0.2,32,200,0.194065955777963,0.16969093674432773
"[24, 12]",0.001,0.2,64,200,0.15704089651505151,0.11045429379367647
"[24, 12]",0.001,0.3,16,200,0.22418174023429552,0.2102991595230641
"[24, 12]",0.001,0.3,32,200,0.1956126975516478,0.16891333351703425
"[24, 12]",0.001,0.3,64,200,0.16571388641993204,0.1170740940170221
"[24, 12]",0.0005,0.1,16,200,0.18079321334759393,0.14472747307461054
"[24, 12]",0.0005,0.1,32,200,0.16699461390574774,0.10672212145252617
"[24, 12]",0.0005,0.1,64,200,0.13791259129842123,0.05730099693615441
"[24, 12]",0.0005,0.2,16,200,0.1821738357345263,0.14413378172345417
"[24, 12]",0.0005,0.2,32,200,0.14937720447778702,0.09118472810878392
"[24, 12]",0.0005,0.2,64,200,0.14556704958279928,0.06630003241313247
"[24, 12]",0.0005,0.3,16,200,0.16272563735644022,0.12006817857507701
"[24, 12]",0.0005,0.3,32,200,0.16651315738757452,0.09498716103050758
"[24, 12]",0.0005,0.3,64,200,0.16021081060171127,0.07589737430821328
"[24, 12]",0.0001,0.1,16,200,0.14228308449188867,0.04551562531801765
"[24, 12]",0.0001,0.1,32,200,0.16158156345287958,0.04722607112431254
"[24, 12]",0.0001,0.1,64,200,0.19879724582036337,0.030862425979563204
"[24, 12]",0.0001,0.2,16,200,0.13806301355361938,0.04016326327771888
"[24, 12]",0.0001,0.2,32,200,0.15210782984892526,0.03402006389596258
"[24, 12]",0.0001,0.2,64,200,0.20176894466082254,0.008127838325051122
"[24, 12]",0.0001,0.3,16,200,0.15562997510035834,0.07523614372159665
"[24, 12]",0.0001,0.3,32,200,0.1586307262380918,0.034535682032810974
"[24, 12]",0.0001,0.3,64,200,0.20287898182868958,0.015132807531726107
"[32, 16]",0.001,0.1,16,200,0.3154659892121951,0.3082577139487911
"[32, 16]",0.001,0.1,32,200,0.21826304495334625,0.18817463657248712
"[32, 16]",0.001,0.1,64,200,0.19244201481342316,0.15910249608594781
"[32, 16]",0.001,0.2,16,200,0.28730636090040207,0.29429856280185696
"[32, 16]",0.001,0.2,32,200,0.23228217661380768,0.22015102778078136
"[32, 16]",0.001,0.2,64,200,0.15715467433134714,0.11375302587511683
"[32, 16]",0.001,0.3,16,200,0.25880341604352,0.2623143586062933
"[32, 16]",0.001,0.3,32,200,0.2029332717259725,0.1707130103509643
"[32, 16]",0.001,0.3,64,200,0.16422583162784576,0.11813373379927257
"[32, 16]",0.0005,0.1,16,200,0.2187422439455986,0.1990090854680854
"[32, 16]",0.0005,0.1,32,200,0.15987501790126166,0.1087422699250619
"[32, 16]",0.0005,0.1,64,200,0.14322875440120697,0.07787712515235605
"[32, 16]",0.0005,0.2,16,200,0.20048280556996664,0.16939451982236706
"[32, 16]",0.0005,0.2,32,200,0.14810641730825105,0.10158352131703066
"[32, 16]",0.0005,0.2,64,200,0.13832192371288934,0.0735768910502923
"[32, 16]",0.0005,0.3,16,200,0.18638625120123228,0.15581658163519183
"[32, 16]",0.0005,0.3,32,200,0.16432201862335205,0.1097913020171676
"[32, 16]",0.0005,0.3,64,200,0.14786252876122793,0.07840824071090295
"[32, 16]",0.0001,0.1,16,200,0.1421521653731664,0.05695381956718974
"[32, 16]",0.0001,0.1,32,200,0.14575080325206122,0.038612598899447785
"[32, 16]",0.0001,0.1,64,200,0.1673592726389567,0.033107257226390525
"[32, 16]",0.0001,0.2,16,200,0.15312907099723816,0.051051367711726345
"[32, 16]",0.0001,0.2,32,200,0.14370276282231012,0.04556093748681156
"[32, 16]",0.0001,0.2,64,200,0.1656363382935524,0.04384334859208901
"[32, 16]",0.0001,0.3,16,200,0.14301093916098276,0.0518815327977421
"[32, 16]",0.0001,0.3,32,200,0.15678444504737854,0.037827299249711656
"[32, 16]",0.0001,0.3,64,200,0.1735091507434845,0.03138897940321621
"[16, 12, 8]",0.001,0.1,16,200,0.316002460817496,0.3232542840810824
"[16, 12, 8]",0.001,0.1,32,200,0.24705548087755838,0.23822941439800854
"[16, 12, 8]",0.001,0.1,64,200,0.15785372257232666,0.10328390719490302
"[16, 12, 8]",0.001,0.2,16,200,0.28686437010765076,0.29984167842698783
"[16, 12, 8]",0.001,0.2,32,200,0.21000971148411432,0.19729623593639098
"[16, 12, 8]",0.001,0.2,64,200,0.1890326403081417,0.15122273104901013
"[16, 12, 8]",0.001,0.3,16,200,0.2478287716706594,0.24203181194053228
"[16, 12, 8]",0.001,0.3,32,200,0.20525901392102242,0.17814522907604013
"[16, 12, 8]",0.001,0.3,64,200,0.1779689242442449,0.14310347406753243
"[16, 12, 8]",0.0005,0.1,16,200,0.22181194523970285,0.20038842143677682
"[16, 12, 8]",0.0005,0.1,32,200,0.1790136123696963,0.12487337971964037
"[16, 12, 8]",0.0005,0.1,64,200,0.1786572908361753,0.09421326430201712
"[16, 12, 8]",0.0005,0.2,16,200,0.2401814634601275,0.16882794104936877
"[16, 12, 8]",0.0005,0.2,32,200,0.16765479495127997,0.11420176818229631
"[16, 12, 8]",0.0005,0.2,64,200,0.15610730151335397,0.07979910194415278
"[16, 12, 8]",0.0005,0.3,16,200,0.19709819555282593,0.17461953042965545
"[16, 12, 8]",0.0005,0.3,32,200,0.17555393278598785,0.10258205066680047
"[16, 12, 8]",0.0005,0.3,64,200,0.16430659095446268,0.07437585162642016
"[16, 12, 8]",0.0001,0.1,16,200,0.15840700517098108,0.04359026934997919
"[16, 12, 8]",0.0001,0.1,32,200,0.15313257773717245,0.03864865956455868
