hidden_layers,learning_rate,dropout_rate,batch_size,epochs,mean_score,std_score
"[24, 12]",0.0005,0.1,64,50,0.9707492391268412,0.010284996525166082
"[24, 12]",0.0005,0.2,16,50,0.9658115108807882,0.012578365009648975
"[24, 12]",0.0005,0.2,32,50,0.975561777750651,0.015138003106252157
"[24, 12]",0.0005,0.2,64,50,0.9536102811495463,0.018380322413921266
"[24, 12]",0.0005,0.3,16,50,0.9755796591440836,0.009223404963943794
"[24, 12]",0.0005,0.3,32,50,0.9755796591440836,0.009223404963943794
"[24, 12]",0.0005,0.3,64,50,0.9584764639536539,0.018422900961164022
"[24, 12]",0.0001,0.1,16,50,0.9292793671290079,0.006770841315373621
"[24, 12]",0.0001,0.1,32,50,0.914591391881307,0.029545982857319665
"[24, 12]",0.0001,0.1,64,50,0.8584693074226379,0.028559309685778866
"[24, 12]",0.0001,0.2,16,50,0.9707313577334086,0.017879783825639265
"[24, 12]",0.0001,0.2,32,50,0.9292257030804952,0.015243442147159631
"[24, 12]",0.0001,0.2,64,50,0.7051846385002136,0.13931367743355752
"[24, 12]",0.0001,0.3,16,50,0.9487440784772238,0.010550423902439052
"[24, 12]",0.0001,0.3,32,50,0.9243237376213074,0.03302966087003252
"[24, 12]",0.0001,0.3,64,50,0.734023908774058,0.07455137790219042
"[32, 16]",0.001,0.1,16,50,0.9731465776761373,0.013827325776633191
"[32, 16]",0.001,0.1,32,50,0.975561777750651,0.015138003106252157
"[32, 16]",0.001,0.1,64,50,0.9755796591440836,0.01249442653445847
"[32, 16]",0.001,0.2,16,50,0.9706955750783285,0.01205135336713853
"[32, 16]",0.001,0.2,32,50,0.9755975206693014,0.006932980103575123
"[32, 16]",0.001,0.2,64,50,0.9682445923487345,0.01516125219041964
"[32, 16]",0.001,0.3,16,50,0.9658115108807882,0.012578365009648975
"[32, 16]",0.001,0.3,32,50,0.9780306220054626,0.006047693517268965
"[32, 16]",0.001,0.3,64,50,0.9731465578079224,0.009199778983260881
"[32, 16]",0.0005,0.1,16,50,0.9706598122914633,0.02168301681606972
"[32, 16]",0.0005,0.1,32,50,0.9682446122169495,0.013940744494554375
"[32, 16]",0.0005,0.1,64,50,0.9755975206693014,0.006932980103575123
"[32, 16]",0.0005,0.2,16,50,0.97801274061203,0.010449215270214892
"[32, 16]",0.0005,0.2,32,50,0.9853477875391642,0.006025701016581093
"[32, 16]",0.0005,0.2,64,50,0.9706776936848959,0.015942170215710646
"[32, 16]",0.0005,0.3,16,50,0.9731465578079224,0.009199778983260881
"[32, 16]",0.0005,0.3,32,50,0.9731107751528422,0.01738164130488277
"[32, 16]",0.0005,0.3,64,50,0.9731465578079224,0.009199778983260881
"[32, 16]",0.0001,0.1,16,50,0.9487798810005188,0.00017710105744277673
"[32, 16]",0.0001,0.1,32,50,0.9487798810005188,0.01192098046649294
"[32, 16]",0.0001,0.1,64,50,0.8263203104337057,0.15115134805408564
"[32, 16]",0.0001,0.2,16,50,0.9439315994580587,0.01230159958229869
"[32, 16]",0.0001,0.2,32,50,0.9560254613558451,0.02089845863832879
"[32, 16]",0.0001,0.2,64,50,0.8900458017985026,0.05751007632367695
"[32, 16]",0.0001,0.3,16,50,0.960963229338328,0.012449336283833086
"[32, 16]",0.0001,0.3,32,50,0.9267747203509012,0.02172665227712865
"[32, 16]",0.0001,0.3,64,50,0.7879096865653992,0.11149738377965593
"[16, 12, 8]",0.001,0.1,16,50,0.9706955750783285,0.01205135336713853
"[16, 12, 8]",0.001,0.1,32,50,0.973164439201355,0.01501054177932562
"[16, 12, 8]",0.001,0.1,64,50,0.9755796591440836,0.01249442653445847
"[16, 12, 8]",0.001,0.2,16,50,0.9780306220054626,0.010373721230826187
"[16, 12, 8]",0.001,0.2,32,50,0.9706419110298157,0.026204517067582863
"[16, 12, 8]",0.001,0.2,64,50,0.9755975206693014,0.006932980103575123
"[16, 12, 8]",0.001,0.3,16,50,0.973164439201355,0.0034926291980174745
"[16, 12, 8]",0.001,0.3,32,50,0.9657936096191406,0.018398947886942827
"[16, 12, 8]",0.001,0.3,64,50,0.9658115108807882,0.012578365009648975
"[16, 12, 8]",0.0005,0.1,16,50,0.9706776936848959,0.015942170215710646
"[16, 12, 8]",0.0005,0.1,32,50,0.970713476339976,0.006069711220958724
"[16, 12, 8]",0.0005,0.1,64,50,0.9536102811495463,0.022703158260943452
"[16, 12, 8]",0.0005,0.2,16,50,0.9658115108807882,0.012578365009648975
"[16, 12, 8]",0.0005,0.2,32,50,0.9755617578824362,0.018322596838982
"[16, 12, 8]",0.0005,0.2,64,50,0.9414627154668173,0.017880642904606416
"[16, 12, 8]",0.0005,0.3,16,50,0.9633784095446268,0.010499819586326972
"[16, 12, 8]",0.0005,0.3,32,50,0.963414212067922,0.011920336065880282
"[16, 12, 8]",0.0005,0.3,64,50,0.9390117526054382,0.0036686302817822603
"[16, 12, 8]",0.0001,0.1,16,50,0.924377421538035,0.012486437301814044
"[16, 12, 8]",0.0001,0.1,32,50,0.9097252090771993,0.012654553267558872
"[16, 12, 8]",0.0001,0.1,64,50,0.8244060476620992,0.08653878622816853
"[16, 12, 8]",0.0001,0.2,16,50,0.9390475352605184,0.008970657354936646
"[16, 12, 8]",0.0001,0.2,32,50,0.7853513757387797,0.07164117964112393
"[16, 12, 8]",0.0001,0.2,64,50,0.8682195742925009,0.04157200677252837
"[16, 12, 8]",0.0001,0.3,16,50,0.9122119545936584,0.005720502278450442
"[16, 12, 8]",0.0001,0.3,32,50,0.8926935791969299,0.0240383080244169
"[16, 12, 8]",0.0001,0.3,64,50,0.743112196524938,0.23286624608180698
"[24, 16, 8]",0.001,0.1,16,50,0.9731465578079224,0.009199778983260881
"[24, 16, 8]",0.001,0.1,32,50,0.9731107751528422,0.01738164130488277
"[24, 16, 8]",0.001,0.1,64,50,0.9706955949465433,0.010474531477220436
"[24, 16, 8]",0.001,0.2,16,50,0.9706776936848959,0.015942170215710646
"[24, 16, 8]",0.001,0.2,32,50,0.9755796591440836,0.01249442653445847
"[24, 16, 8]",0.001,0.2,64,50,0.980463703473409,0.006983030350779959
"[24, 16, 8]",0.001,0.3,16,50,0.9804458419481913,0.012529207041232275
"[24, 16, 8]",0.001,0.3,32,50,0.9731286764144897,0.012553778812622995
"[24, 16, 8]",0.001,0.3,64,50,0.9780306220054626,0.006047693517268965
"[24, 16, 8]",0.0005,0.1,16,50,0.9731286764144897,0.012553778812622995
"[24, 16, 8]",0.0005,0.1,32,50,0.9633784095446268,0.010499819586326972
"[24, 16, 8]",0.0005,0.1,64,50,0.973164439201355,0.0034926291980174745
"[24, 16, 8]",0.0005,0.2,16,50,0.9706776936848959,0.015942170215710646
"[24, 16, 8]",0.0005,0.2,32,50,0.985312024752299,0.015892460604674204
"[24, 16, 8]",0.0005,0.2,64,50,0.978012760480245,0.012029380532220873
"[24, 16, 8]",0.0005,0.3,16,50,0.9633963108062744,0.006091754904652442
"[24, 16, 8]",0.0005,0.3,32,50,0.9780306220054626,0.006047693517268965
"[24, 16, 8]",0.0005,0.3,64,50,0.9658293922742208,0.007033606568993033
"[24, 16, 8]",0.0001,0.1,16,50,0.8952518900235494,0.06554641808671148
"[24, 16, 8]",0.0001,0.1,32,50,0.9000643889109293,0.05961781115838419
"[24, 16, 8]",0.0001,0.1,64,50,0.9096894264221191,0.03305921227782365
"[24, 16, 8]",0.0001,0.2,16,50,0.9195470213890076,0.03146264302285522
"[24, 16, 8]",0.0001,0.2,32,50,0.9095999598503113,0.045653826109477436
"[24, 16, 8]",0.0001,0.2,64,50,0.8707778851191202,0.06108264292423231
"[24, 16, 8]",0.0001,0.3,16,50,0.9169708093007406,0.029827074778590174
"[24, 16, 8]",0.0001,0.3,32,50,0.8461249470710754,0.06305357638868288
"[24, 16, 8]",0.0001,0.3,64,50,0.7778553167978922,0.06652069395669179
"[32, 24, 16]",0.001,0.1,16,50,0.9633784294128418,0.01207336361553701
"[32, 24, 16]",0.001,0.1,32,50,0.9706955750783285,0.01205135336713853
"[32, 24, 16]",0.001,0.1,64,50,0.9682624936103821,0.009247361657757401
"[32, 24, 16]",0.001,0.2,16,50,0.9755975206693014,0.006932980103575123
